,Unnamed: 0,&&,(,),*,+,",",-,.equals,.getType,/,0,0.0,0.1,1,1.0,2,;,<,<=,=,==,>,>=,Constant.CELL_PENALTY,Constant.CELL_REWARD,Constant.CELL_WALL,Double,Grid,MDP,String,[,],action,byte,char,class,com.elements.Grid,com.utilities.Constant,do,double,east,else,float,for,grid,grid.getColumns,grid.getRows,grid.getValue,i,if,import,int,j,long,package,private,public,return,short,void,west,while,{,}
0,0,12.0,171.0,171.0,48.0,70.0,52.0,21.0,15.0,15.0,41.0,8.0,5.0,1.0,37.0,2.0,1.0,67.0,8.0,0.0,55.0,0.0,10.0,0.0,1.0,1.0,13.0,11.0,4.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,4.0,12.0,0.0,2.0,6.0,4.0,4.0,33.0,54.0,32.0,2.0,2.0,54.0,0.0,1.0,4.0,11.0,4.0,0.0,5.0,4.0,0.0,43.0,43.0
1,1,12.0,171.0,171.0,48.0,70.0,52.0,21.0,15.0,15.0,41.0,8.0,5.0,1.0,37.0,2.0,1.0,67.0,8.0,0.0,55.0,0.0,10.0,0.0,1.0,1.0,13.0,11.0,4.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,4.0,12.0,0.0,2.0,6.0,4.0,4.0,33.0,54.0,32.0,2.0,2.0,54.0,0.0,1.0,4.0,11.0,4.0,0.0,5.0,4.0,0.0,43.0,43.0
